Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 52,SWIFT-GARUDA A/C SEATER BUS,12:01,07h 54m,19:55,3.5,INR 945,11 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 1378,AC MULTI AXLE,13:46,07h 39m,21:25,2.0,INR 1099,24 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,14:15,08h 35m,22:50,4.2,INR 945,30 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),15:00,09h 01m,00:01,3.9,INR 801,24 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 370,AC MULTI AXLE,15:25,06h 55m,22:20,3.0,INR 1099,19 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:02,08h 48m,00:50,2.8,INR 740,13 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 171,Swift Deluxe Non AC Air Bus (2+2),16:16,09h 04m,01:20,4.1,INR 832,1 Seat available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:04,09h 20m,04:24,4.2,INR 832,38 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,08h 25m,04:25,3.4,INR 473,12 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 1585,Super Express Non AC Seater Air Bus (2+2),20:31,09h 05m,05:36,3.9,INR 832,22 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,10h 00m,09:00,4.2,INR 799,31 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,NS Transports,VE A/C Sleeper (2+1),22:45,08h 45m,07:30,4.1,INR 999,28 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,NS Transports,Non A/C Seater / Sleeper (2+1),21:45,08h 25m,06:10,4.1,INR 699,27 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,NS Transports,Non A/C Seater / Sleeper (2+1),22:15,08h 15m,06:30,4.1,INR 749,14 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,DLT BUS,A/C Sleeper (2+1),22:30,09h 00m,07:30,3.9,INR 900,16 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Suraj Holidays,VE A/C Sleeper (2+1),22:30,09h 00m,07:30,3.9,850,19 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Suraj Holidays,NON AC Seater / Sleeper 2+1,20:30,09h 30m,06:00,3.5,600,22 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,P K Travels,A/C Sleeper (2+1),18:45,11h 45m,06:30,4.0,INR 999,18 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,DA Transports,A/C Sleeper (2+1),21:45,09h 15m,07:00,3.8,INR 799,15 Seats available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:00,08h 30m,05:30,3.8,INR 999,21 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,MMK Travels,A/C Seater / Sleeper (2+1),21:30,08h 30m,06:00,4.4,INR 1500,15 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,SAAM BUS,VE A/C Sleeper (2+1),20:30,09h 45m,06:15,4.5,INR 1500,5 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,DLT BUS,A/C Sleeper (2+1),21:45,08h 45m,06:30,4.3,INR 1899,11 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,AdFAST LINE BUS,A/C Sleeper (2+1),21:15,09h 00m,06:15,4.8,1709,7 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),12:15,08h 15m,20:30,4.3,INR 1999,16 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,NS Transports,Non A/C Seater / Sleeper (2+1),20:30,10h 05m,06:35,4.2,INR 1399,1 Seat available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Suraj Holidays,VE A/C Sleeper (2+1),22:00,09h 15m,07:15,4.0,INR 1750,14 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,AdSAAM BUS,VE A/C Sleeper (2+1),20:30,09h 45m,06:15,4.4,INR 1600,18 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,National travels and logistics,NON A/C Sleeper (2+1),20:45,09h 30m,06:15,4.0,1449,8 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,NS Transports,VE A/C Sleeper (2+1),21:16,09h 14m,06:30,4.0,INR 1599,8 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,P K Travels,A/C Seater / Sleeper (2+1),21:45,09h 00m,06:45,4.6,1710,2 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,DA Transports,A/C Sleeper (2+1),21:50,08h 55m,06:45,3.8,INR 1599,13 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,NS Transports,Non A/C Seater / Sleeper (2+1),19:30,09h 00m,04:30,3.9,INR 1499,1 Seat available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Sam Tourist,NON AC Seater / Sleeper 2+1,21:00,09h 30m,06:30,3.8,INR 1799,15 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,SURAJ TRAVEL HOUSE,VE A/C Seater / Sleeper (2+1),20:45,09h 15m,06:00,3.6,1600,2 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,P K Travels,A/C Sleeper (2+1),20:00,10h 00m,06:00,4.2,1710,1 Seat available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,SKS Tours & Travels,A/C Sleeper (2+1),21:00,09h 00m,06:00,4.3,INR 1799,6 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),21:10,10h 05m,07:15,3.4,INR 1900,12 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Bharathi Travels,A/C Sleeper (2+1),15:00,08h 48m,23:48,3.3,INR 2645,15 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,MMK Travels,A/C Sleeper (2+1),20:30,09h 00m,05:30,4.0,INR 1900,19 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,A1 Travels,A/C Seater / Sleeper (2+1),22:00,08h 00m,06:00,2.9,INR 1650,3 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),13:45,09h 25m,23:10,4.2,INR 2400,21 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,National travels and logistics,A/C Sleeper (2+1),21:00,09h 15m,06:15,2.9,INR 1590,7 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),14:00,09h 30m,23:30,2.5,2525,18 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,A1 Travels,A/C Seater / Sleeper (2+1),20:00,09h 30m,05:30,1.7,INR 1500,9 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Sam Tourist,Volvo A/C Seater (2+2),21:30,09h 00m,06:30,3.5,INR 1699,23 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Silver Line Travels,NON A/C Semi Sleeper (2+2),20:45,09h 15m,06:00,2.9,INR 1300,12 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,CHANCHALAS TOURS AND TRAVELS,A/C Semi Sleeper (2+2),19:00,09h 15m,04:15,4.2,1614,17 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,NS Transports,NON A/C Sleeper (2+1),19:31,08h 59m,04:30,4.1,INR 1499,6 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,DA Transports,A/C Sleeper (2+1),22:01,09h 44m,07:45,3.7,INR 1649,7 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Sam Tourist,NON AC Seater / Sleeper 2+1,21:20,09h 45m,07:05,3.3,INR 1499,22 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,J J YATRA,A/C Sleeper (2+1),20:45,09h 15m,06:00,2.8,1465,20 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Balaji Tourist,Volvo Multi-Axle A/C Semisleeper (2+2),20:30,09h 30m,06:00,1.9,INR 1650,17 Seats available
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Sam Tours and Travels,A/C Seater (2+2),21:00,10h 15m,07:15,0,INR 1199,6 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 2718,Super Fast Non AC Seater (2+3),13:50,06h 10m,20:00,3.0,INR 209,13 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 427,Super Fast Non AC Seater (2+3),13:55,06h 25m,20:20,3.0,INR 269,2 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 2818,Super Fast Non AC Seater (2+3),15:00,05h 30m,20:30,3.0,INR 269,16 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 2810,Super Fast Non AC Seater (2+3),15:25,05h 40m,21:05,3.0,INR 269,34 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 720,Super Fast Non AC Seater (2+3),15:40,05h 35m,21:15,2.0,INR 269,25 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 2898,Low Floor AC Seater 2+2,16:00,06h 15m,22:15,3.0,INR 383,1 Seat available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 2874,Super Fast Non AC Seater (2+3),16:20,06h 10m,22:30,3.0,INR 230,15 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 2900,Low Floor AC Seater 2+2,18:00,06h 15m,00:15,3.0,INR 383,1 Seat available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 370,AC MULTI AXLE,22:20,04h 55m,03:15,1.9,INR 750,1 Seat available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,A1 Travels,NON A/C Semi Sleeper (2+2),21:00,04h 30m,01:30,4.1,INR 800,1 Seat available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,02h 59m,01:29,3.2,INR 900,1 Seat available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,A1 Travels,NON A/C Semi Sleeper (2+2),22:30,04h 30m,03:00,3.5,INR 800,7 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Archana Holidays,AC Seater (2+2),23:15,04h 55m,04:10,4.4,INR 899,18 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Sonia Travels,A/C Semi Sleeper (2+2),23:45,03h 45m,03:30,4.2,INR 700,4 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Sonia Travels,A/C Semi Sleeper (2+2),23:54,04h 36m,04:30,4.2,INR 949,14 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Surya Connect,Volvo A/C Semi Sleeper (2+2),23:55,05h 20m,05:15,4.5,INR 930,1 Seat available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Blue Bird Travels,A/C Seater Push Back (2+2),21:40,04h 19m,01:59,2.3,INR 799,18 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Archana Holidays,A/C Seater Push Back (2+2),23:15,04h 55m,04:10,0,INR 899,6 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,EMERALD TRAVELS,Volvo A/C Seater (2+2),23:55,05h 35m,05:30,0,INR 900,35 Seats available
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ubc travels,A/C Semi Sleeper (2+2),20:40,04h 20m,01:00,3.0,INR 900,8 Seats available
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Kalpaka Travels 1,A/C Sleeper (2+1),20:55,05h 35m,02:30,5.0,INR 800,6 Seats available
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Sheraton Tours and Travels,A/C Seater/Sleeper (2+1),21:00,04h 45m,01:45,5.0,800,2 Seats available
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Jacobs Travels,A/C Semi Sleeper (2+2),21:00,05h 30m,02:30,3.0,INR 850,14 Seats available
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Cochin Express,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),21:15,05h 05m,02:20,4.4,INR 700,6 Seats available
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),21:45,04h 55m,02:40,3.8,648,16 Seats available
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Sonia Travels,A/C Semi Sleeper (2+2),21:20,05h 10m,02:30,3.7,INR 700,13 Seats available
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,UFO Bus,A/C Sleeper (2+1),21:15,05h 30m,02:45,3.8,755,5 Seats available
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),21:30,05h 15m,02:45,4.7,648,12 Seats available
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Madhavi Travels,A/C Semi Sleeper (2+2),21:30,04h 45m,02:15,4.0,INR 899,23 Seats available
Bangalore to Kannur,https://www.redbus.in/bus-tickets/bangalore-to-kannur,KSRTC (Kerala) - 136,Swift Deluxe Non AC Air Bus (2+2),20:30,07h 55m,04:25,3.3,INR 740,16 Seats available
Bangalore to Kannur,https://www.redbus.in/bus-tickets/bangalore-to-kannur,KSRTC (Kerala) - 101,Swift Deluxe Non AC Air Bus (2+2),21:16,07h 30m,04:46,4.3,INR 709,22 Seats available
Bangalore to Kannur,https://www.redbus.in/bus-tickets/bangalore-to-kannur,KSRTC (Kerala) - 98,Swift Deluxe Non AC Air Bus (2+2),21:30,08h 15m,05:45,3.7,INR 750,27 Seats available
Bangalore to Kannur,https://www.redbus.in/bus-tickets/bangalore-to-kannur,KSRTC (Kerala) - 1767,Super Express Non AC Seater Air Bus (2+2),23:01,07h 45m,06:46,3.6,INR 740,30 Seats available
Bangalore to Kannur,https://www.redbus.in/bus-tickets/bangalore-to-kannur,NS Transports,A/C Sleeper (2+1),22:15,07h 20m,05:35,4.5,INR 1049,11 Seats available
Bangalore to Kannur,https://www.redbus.in/bus-tickets/bangalore-to-kannur,GOLDEN TRAVEL AGENCIES,Volvo A/C Semi Sleeper (2+2),22:45,06h 00m,04:45,4.5,INR 899,25 Seats available
Bangalore to Kannur,https://www.redbus.in/bus-tickets/bangalore-to-kannur,MMK Travels,VE A/C Seater / Sleeper (2+1),22:15,07h 15m,05:30,4.4,INR 699,26 Seats available
Bangalore to Kannur,https://www.redbus.in/bus-tickets/bangalore-to-kannur,GOLDEN TRAVEL AGENCIES,A/C Sleeper (2+1),21:45,07h 40m,05:25,4.4,INR 899,14 Seats available
Bangalore to Kannur,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Kalpaka Travels,A/C Sleeper (2+1),22:10,06h 50m,05:00,4.3,INR 900,8 Seats available
Bangalore to Kannur,https://www.redbus.in/bus-tickets/bangalore-to-kannur,NS Transports,NON A/C Sleeper (2+1),22:45,06h 35m,05:20,4.2,INR 799,13 Seats available
Bangalore to Kannur,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Ashoka Travel and Logistics,A/C Sleeper (2+1),21:45,07h 45m,05:30,4.0,925,12 Seats available
Bangalore to Kannur,https://www.redbus.in/bus-tickets/bangalore-to-kannur,National travels and logistics,Non A/C Seater / Sleeper (2+1),22:40,07h 05m,05:45,3.4,499,27 Seats available
Bangalore to Kannur,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Sugama Tourist,A/C Sleeper (2+1),22:00,07h 30m,05:30,4.0,INR 750,15 Seats available
Bangalore to Kannur,https://www.redbus.in/bus-tickets/bangalore-to-kannur,NS Transports,Non A/C Seater / Sleeper (2+1),22:00,08h 00m,06:00,3.9,INR 749,21 Seats available
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),12:15,06h 00m,18:15,4.7,INR 1999,16 Seats available
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),14:00,06h 30m,20:30,3.3,2525,21 Seats available
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Bharathi Travels,A/C Sleeper (2+1),15:00,06h 00m,21:00,3.1,INR 2645,12 Seats available
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,CHANCHALAS TOURS AND TRAVELS,A/C Semi Sleeper (2+2),19:00,06h 30m,01:30,4.2,1614,17 Seats available
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,A1 Travels,A/C Seater / Sleeper (2+1),20:00,08h 00m,04:00,3.2,INR 1500,11 Seats available
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,MMK Travels,A/C Sleeper (2+1),20:30,06h 30m,03:00,4.2,INR 1900,23 Seats available
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,SAAM BUS,VE A/C Sleeper (2+1),20:30,07h 30m,04:00,4.2,INR 1500,10 Seats available
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,SAAM BUS,VE A/C Sleeper (2+1),20:30,07h 30m,04:00,4.2,INR 1600,20 Seats available
